id,age,salary,experience_years,department,city,performance_score,bonus,working_hours,satisfaction_level
30,42.0,26371.0,35.0,Marketing,Pune,1.28,18981.0,41,0.05
31,66.0,138894.0,1.0,Finance,Ahmedabad,1.84,,57,0.48
32,44.0,46069.0,13.0,HR,Pune,1.92,22444.0,47,0.01
33,59.0,99905.0,,Marketing,Mumbai,,42058.0,42,0.92
34,,,28.0,Finance,Mumbai,2.07,18061.0,34,0.98
35,,93479.0,11.0,Sales,Bangalore,1.4,2881.0,51,0.22
36,32.0,97735.0,,Marketing,Pune,1.67,29863.0,41,0.21
37,64.0,101264.0,1.0,Finance,Bangalore,1.59,45826.0,31,0.75
38,68.0,43275.0,31.0,IT,Bangalore,4.89,5622.0,34,0.25
39,,92274.0,12.0,IT,Mumbai,4.04,1378.0,36,0.9
40,69.0,101449.0,26.0,HR,Bangalore,4.87,17632.0,55,0.57
41,20.0,120776.0,16.0,Finance,Mumbai,2.76,,55,0.35
42,54.0,80004.0,39.0,IT,Ahmedabad,2.11,5650.0,53,0.83
43,68.0,82981.0,30.0,Sales,Pune,4.19,45201.0,41,0.49
44,24.0,104659.0,33.0,Finance,Bangalore,2.31,42224.0,45,0.91
45,,,23.0,Sales,Mumbai,2.2,7036.0,52,0.93
46,26.0,,34.0,Sales,Delhi,1.93,39255.0,37,0.17
47,56.0,54529.0,5.0,IT,Bangalore,1.52,22499.0,59,0.0
48,35.0,146394.0,18.0,Finance,Ahmedabad,2.03,37016.0,57,0.98
49,21.0,95703.0,29.0,Marketing,Ahmedabad,,4603.0,38,0.91
50,42.0,,,IT,Delhi,3.7,27773.0,44,0.06
51,31.0,37260.0,9.0,IT,Mumbai,1.25,19937.0,34,0.83
52,67.0,132581.0,31.0,Finance,Bangalore,1.84,12632.0,42,0.46
53,26.0,23812.0,33.0,Finance,Mumbai,4.24,30607.0,34,0.26
54,43.0,48024.0,27.0,Sales,Ahmedabad,1.59,26337.0,40,0.88
55,19.0,78656.0,14.0,Finance,Mumbai,2.37,220.0,39,0.2
56,37.0,136148.0,29.0,Sales,Ahmedabad,4.46,46994.0,49,0.95
57,45.0,47285.0,36.0,IT,Mumbai,1.62,4818.0,42,0.21
58,64.0,,28.0,HR,Delhi,1.33,7349.0,38,0.61
59,24.0,136421.0,21.0,Marketing,Pune,2.94,,50,0.22
60,61.0,21605.0,3.0,IT,Delhi,2.21,27464.0,43,0.55
61,25.0,91158.0,19.0,Finance,Delhi,3.25,42624.0,47,0.68
62,64.0,92303.0,31.0,Marketing,Pune,4.22,37344.0,44,0.19
63,52.0,47139.0,35.0,HR,Pune,1.55,18255.0,39,0.52
64,31.0,97149.0,3.0,HR,Bangalore,3.32,,53,0.47
65,34.0,,26.0,Sales,Bangalore,3.02,47975.0,36,0.07
66,53.0,138205.0,16.0,Marketing,Delhi,1.58,1462.0,37,0.82
67,67.0,96125.0,11.0,Sales,Delhi,3.5,15905.0,57,0.34
68,57.0,33918.0,21.0,IT,Ahmedabad,2.09,24920.0,32,0.57
69,21.0,105655.0,16.0,Marketing,Ahmedabad,2.95,16252.0,44,0.51
70,19.0,47446.0,,IT,Bangalore,,41004.0,45,0.51
71,23.0,144040.0,,Sales,Bangalore,2.84,,33,0.11
72,59.0,33046.0,21.0,Marketing,Ahmedabad,2.23,34836.0,50,0.42
73,21.0,149922.0,25.0,Sales,Ahmedabad,4.29,5753.0,35,0.45
74,46.0,44818.0,17.0,Marketing,Mumbai,1.23,40005.0,30,0.73
75,35.0,120894.0,13.0,Sales,Mumbai,2.67,,33,0.84
76,43.0,135751.0,28.0,HR,Ahmedabad,2.83,6191.0,40,0.54
77,61.0,24324.0,11.0,Sales,Mumbai,3.9,17898.0,41,0.09
78,51.0,96323.0,35.0,HR,Pune,3.3,18982.0,55,0.24
79,27.0,29111.0,,Sales,Bangalore,3.67,14622.0,58,0.16
80,,58110.0,11.0,Marketing,Bangalore,4.11,,34,0.12
81,31.0,36389.0,6.0,Marketing,Ahmedabad,4.45,47645.0,52,0.37
82,48.0,142177.0,28.0,Marketing,Delhi,2.26,43000.0,58,0.23
83,65.0,61427.0,10.0,Finance,Ahmedabad,3.15,23283.0,50,0.22
84,32.0,99579.0,32.0,IT,Mumbai,4.36,21435.0,45,0.05
85,25.0,48746.0,5.0,Marketing,Delhi,,27223.0,42,0.02
86,31.0,142883.0,14.0,HR,Mumbai,4.56,37244.0,42,0.1
87,,107886.0,31.0,Marketing,Pune,2.49,30024.0,46,0.17
88,57.0,127141.0,10.0,Finance,Mumbai,,49630.0,56,0.43
89,38.0,20117.0,22.0,HR,Pune,2.96,30734.0,36,0.51
90,33.0,145808.0,25.0,Finance,Pune,3.97,515.0,37,0.14
91,62.0,132221.0,,HR,Mumbai,2.97,45246.0,42,0.42
92,35.0,104471.0,33.0,Sales,Mumbai,2.93,1191.0,52,0.34
93,64.0,132613.0,28.0,IT,Pune,4.35,32264.0,56,0.18
94,41.0,33234.0,3.0,IT,Delhi,2.45,,45,0.01
95,,149597.0,16.0,Finance,Pune,4.44,46216.0,59,0.47
96,42.0,123864.0,34.0,IT,Bangalore,2.63,6297.0,58,0.69
97,,73441.0,12.0,Finance,Pune,2.31,27856.0,33,0.23
98,58.0,,38.0,Finance,Delhi,,,37,0.13
99,46.0,,14.0,Finance,Bangalore,,8334.0,45,0.89
100,32.0,99239.0,28.0,IT,Ahmedabad,1.5,24162.0,50,0.28
101,62.0,133689.0,28.0,Finance,Ahmedabad,1.79,6008.0,39,0.22
102,18.0,66514.0,10.0,IT,Delhi,4.81,7987.0,54,0.86
103,42.0,108236.0,,Finance,Pune,1.7,30966.0,41,0.82
104,24.0,117579.0,,Marketing,Mumbai,3.27,3332.0,41,0.45
105,26.0,148644.0,13.0,Finance,Delhi,3.32,787.0,55,0.49
106,41.0,26469.0,,HR,Bangalore,2.96,38990.0,34,0.22
107,18.0,50105.0,21.0,Finance,Bangalore,3.58,9873.0,45,0.08
108,,62101.0,10.0,Sales,Ahmedabad,1.92,17006.0,30,0.57
109,25.0,84323.0,26.0,Finance,Bangalore,3.21,20225.0,57,0.1
110,41.0,111922.0,,HR,Delhi,2.49,36444.0,38,0.45
111,28.0,78067.0,16.0,HR,Bangalore,3.65,35340.0,41,0.94
112,68.0,69376.0,27.0,IT,Delhi,,39683.0,34,0.95
113,34.0,65587.0,28.0,Marketing,Mumbai,3.28,5033.0,51,0.24
114,25.0,56976.0,,Finance,Ahmedabad,1.74,7788.0,49,0.62
115,52.0,124587.0,15.0,IT,Bangalore,2.11,15689.0,51,0.47
116,52.0,147534.0,36.0,Marketing,Delhi,1.87,44220.0,57,0.88
117,,87584.0,19.0,Finance,Pune,1.73,21598.0,53,0.27
118,22.0,124537.0,5.0,Sales,Ahmedabad,4.3,37480.0,32,0.0
119,59.0,98477.0,18.0,Finance,Mumbai,2.14,29703.0,34,0.16
120,56.0,130911.0,4.0,HR,Delhi,4.71,66.0,31,0.35
121,,62533.0,2.0,HR,Mumbai,4.88,48623.0,43,0.32
122,45.0,21828.0,0.0,Sales,Mumbai,3.29,,31,0.79
123,24.0,21917.0,37.0,IT,Bangalore,1.57,7533.0,42,0.68
124,26.0,40618.0,,Marketing,Bangalore,2.5,15103.0,36,0.3
125,25.0,52254.0,33.0,Finance,Delhi,4.19,4616.0,39,0.46
126,29.0,125292.0,,HR,Pune,2.47,46045.0,42,0.1
127,,136714.0,24.0,IT,Delhi,1.35,38498.0,45,0.9
128,50.0,67362.0,23.0,Sales,Pune,3.23,43492.0,55,0.94
129,,40128.0,11.0,HR,Mumbai,,11772.0,43,0.98
130,40.0,,17.0,Sales,Ahmedabad,4.18,23849.0,40,0.87
131,41.0,131281.0,14.0,Finance,Delhi,,49036.0,39,0.17
132,54.0,79383.0,15.0,Marketing,Delhi,3.69,12940.0,35,0.05
133,52.0,,26.0,HR,Pune,1.88,16932.0,33,0.58
134,61.0,102180.0,7.0,HR,Mumbai,1.87,29769.0,50,0.91
135,57.0,107958.0,24.0,Finance,Mumbai,4.5,24648.0,30,0.18
136,39.0,29865.0,16.0,IT,Pune,2.0,47411.0,36,0.01
137,44.0,22219.0,28.0,Marketing,Mumbai,,32966.0,53,0.81
138,52.0,59809.0,7.0,HR,Bangalore,1.0,27777.0,38,0.08
139,18.0,136748.0,14.0,Marketing,Ahmedabad,4.48,32567.0,37,0.41
140,52.0,25287.0,26.0,HR,Delhi,4.17,49723.0,34,0.68
141,54.0,146593.0,6.0,Marketing,Ahmedabad,3.51,17174.0,48,0.24
142,64.0,54387.0,2.0,Sales,Delhi,4.0,42598.0,39,0.08
143,31.0,28512.0,28.0,HR,Bangalore,,13798.0,40,0.77
144,20.0,21342.0,23.0,Marketing,Mumbai,2.83,17558.0,54,0.63
145,18.0,83076.0,2.0,IT,Pune,2.4,44237.0,44,0.99
146,22.0,128872.0,19.0,Sales,Bangalore,1.38,178.0,35,0.34
147,43.0,39216.0,14.0,Sales,Ahmedabad,2.94,20470.0,44,0.06
148,31.0,137512.0,24.0,IT,Pune,,17118.0,34,0.73
149,56.0,136682.0,29.0,Marketing,Mumbai,1.16,22616.0,58,0.52
150,44.0,113070.0,13.0,Finance,Bangalore,2.17,798.0,48,0.21
151,26.0,99767.0,6.0,IT,Pune,1.83,7601.0,51,0.78
152,32.0,,,Marketing,Bangalore,1.95,25363.0,48,0.2
153,32.0,46614.0,19.0,IT,Bangalore,4.63,2795.0,39,0.26
154,43.0,56258.0,35.0,IT,Mumbai,2.87,31926.0,41,0.09
155,,113789.0,8.0,HR,Delhi,2.87,45264.0,51,0.4
156,30.0,,37.0,Marketing,Pune,4.04,37356.0,33,0.42
157,68.0,126288.0,21.0,Finance,Mumbai,1.62,7297.0,47,0.51
158,49.0,,1.0,HR,Bangalore,2.95,3084.0,45,0.71
159,56.0,116573.0,23.0,IT,Mumbai,2.72,30329.0,37,0.91
160,66.0,32219.0,7.0,IT,Delhi,3.39,11110.0,33,0.14
161,69.0,20235.0,10.0,IT,Pune,5.0,731.0,54,0.05
162,49.0,,12.0,Marketing,Delhi,4.08,1129.0,52,0.02
163,21.0,147309.0,16.0,Marketing,Ahmedabad,2.59,28022.0,41,0.14
164,47.0,87444.0,7.0,HR,Pune,4.31,,31,0.66
165,54.0,28567.0,20.0,Finance,Delhi,1.68,,33,0.73
166,40.0,121834.0,17.0,HR,Bangalore,1.12,43705.0,34,0.79
167,56.0,90792.0,29.0,Sales,Pune,,44130.0,32,0.24
168,62.0,85441.0,17.0,IT,Pune,2.36,29265.0,38,0.31
169,32.0,104555.0,,IT,Mumbai,,32330.0,58,0.48
170,,93698.0,37.0,IT,Bangalore,3.46,2933.0,50,0.06
171,46.0,144450.0,31.0,HR,Ahmedabad,4.64,15187.0,47,0.61
172,53.0,137248.0,10.0,HR,Delhi,3.04,25791.0,40,0.98
173,30.0,25415.0,24.0,IT,Mumbai,3.01,24900.0,32,0.36
174,49.0,56159.0,32.0,HR,Delhi,1.2,5074.0,59,0.75
175,24.0,63925.0,37.0,Marketing,Ahmedabad,1.14,,54,0.5
176,68.0,146523.0,7.0,Marketing,Ahmedabad,3.2,26426.0,52,0.13
177,39.0,25951.0,10.0,HR,Pune,,,31,0.58
178,45.0,107388.0,21.0,IT,Ahmedabad,4.36,893.0,38,0.3
179,19.0,28007.0,23.0,HR,Delhi,1.64,34158.0,43,0.03
180,59.0,146730.0,16.0,HR,Bangalore,1.1,19773.0,33,0.63
181,,61832.0,11.0,HR,Bangalore,,4239.0,58,0.86
182,23.0,,31.0,Sales,Pune,1.95,20863.0,38,0.34
183,45.0,141101.0,14.0,Marketing,Delhi,1.2,3432.0,42,0.39
184,45.0,50523.0,15.0,Finance,Delhi,,35139.0,47,0.89
185,,108861.0,21.0,Finance,Ahmedabad,1.45,1515.0,44,0.81
186,61.0,144194.0,27.0,Sales,Delhi,3.43,31670.0,57,0.71
187,37.0,106740.0,19.0,HR,Mumbai,2.12,48674.0,39,0.25
188,47.0,35524.0,32.0,Sales,Ahmedabad,1.69,39094.0,45,0.91
189,28.0,149028.0,9.0,Sales,Mumbai,2.52,,41,0.15
190,45.0,39282.0,39.0,IT,Pune,4.21,5586.0,49,0.63
191,42.0,43930.0,31.0,Marketing,Bangalore,2.57,,34,0.03
192,56.0,20077.0,32.0,Finance,Pune,4.0,48669.0,31,0.64
193,50.0,125881.0,1.0,HR,Bangalore,1.5,31186.0,39,0.28
194,18.0,145501.0,,Finance,Pune,4.09,26928.0,30,0.45
195,,40611.0,32.0,Finance,Delhi,1.95,32728.0,36,0.35
196,69.0,,12.0,Marketing,Mumbai,3.71,17551.0,55,0.17
197,30.0,34060.0,29.0,Finance,Bangalore,,21493.0,46,0.62
198,58.0,102985.0,32.0,Finance,Ahmedabad,4.72,20711.0,45,0.88
199,20.0,104056.0,,Sales,Mumbai,2.55,20039.0,56,0.96
200,56.0,145329.0,25.0,Marketing,Ahmedabad,1.26,36561.0,56,0.19
201,23.0,63303.0,21.0,IT,Mumbai,1.08,9947.0,53,0.72
202,25.0,79207.0,38.0,HR,Mumbai,4.31,32335.0,32,0.66
203,44.0,95046.0,,Finance,Pune,,15859.0,43,0.34
204,26.0,49287.0,37.0,HR,Bangalore,4.1,23122.0,39,0.02
205,54.0,113709.0,38.0,IT,Bangalore,1.94,1577.0,51,0.69
206,50.0,59711.0,25.0,HR,Mumbai,2.38,42256.0,36,0.95
207,68.0,31954.0,14.0,IT,Delhi,1.12,28350.0,55,0.63
208,59.0,93340.0,33.0,Sales,Delhi,,41932.0,46,0.44
209,61.0,92101.0,,Finance,Ahmedabad,3.67,33798.0,59,0.53
210,41.0,91520.0,10.0,IT,Ahmedabad,4.73,31898.0,35,0.2
211,32.0,107062.0,2.0,HR,Pune,2.06,15881.0,52,0.75
212,49.0,,5.0,Finance,Mumbai,3.45,10785.0,51,0.75
213,49.0,38574.0,8.0,Sales,Ahmedabad,3.71,6691.0,33,0.15
214,41.0,29184.0,5.0,Finance,Ahmedabad,2.27,17297.0,46,0.88
215,58.0,,8.0,IT,Mumbai,4.39,6358.0,56,0.27
216,69.0,87728.0,38.0,Sales,Pune,4.79,19581.0,38,0.98
217,66.0,54016.0,30.0,HR,Ahmedabad,4.54,1462.0,33,0.38
218,66.0,31246.0,31.0,Sales,Pune,3.96,15511.0,36,0.18
219,69.0,65558.0,11.0,Sales,Bangalore,2.11,10570.0,52,0.35
220,29.0,138721.0,7.0,Marketing,Pune,2.13,,31,0.44
221,56.0,38381.0,7.0,Sales,Delhi,4.85,44414.0,46,0.07
222,19.0,147796.0,27.0,Sales,Delhi,1.04,15474.0,53,0.58
223,20.0,56455.0,19.0,Finance,Pune,3.86,,37,0.6
224,66.0,112263.0,6.0,HR,Delhi,3.82,28129.0,52,0.74
225,54.0,24018.0,10.0,Finance,Bangalore,,42267.0,59,0.03
226,66.0,31302.0,19.0,Finance,Mumbai,4.96,13386.0,44,0.54
227,34.0,87506.0,15.0,IT,Delhi,2.25,6221.0,44,0.05
228,66.0,61157.0,3.0,Finance,Delhi,2.36,23474.0,37,0.7
229,19.0,74917.0,5.0,Marketing,Pune,1.32,40537.0,45,0.06
230,19.0,,21.0,Marketing,Bangalore,2.77,49839.0,48,0.91
231,45.0,116646.0,25.0,IT,Mumbai,2.04,47124.0,40,0.7
232,40.0,103122.0,2.0,HR,Pune,,21045.0,31,0.51
233,54.0,44519.0,13.0,HR,Pune,4.34,25783.0,52,0.44
234,49.0,116809.0,10.0,Finance,Bangalore,4.74,40157.0,53,0.13
235,50.0,107487.0,17.0,Finance,Mumbai,1.74,4922.0,46,0.29
236,18.0,76819.0,11.0,Finance,Bangalore,,46407.0,57,0.87
237,36.0,100910.0,22.0,HR,Mumbai,4.71,22706.0,55,0.9
238,19.0,140430.0,11.0,Sales,Bangalore,1.25,42771.0,45,0.0
239,61.0,91324.0,12.0,Marketing,Pune,1.37,32479.0,54,0.59
240,43.0,,24.0,Sales,Pune,1.65,5178.0,44,0.72
241,49.0,79379.0,18.0,Sales,Ahmedabad,3.38,30022.0,42,0.62
242,23.0,45053.0,35.0,HR,Delhi,1.6,15240.0,44,0.08
243,49.0,,7.0,Sales,Bangalore,4.87,,56,0.22
244,21.0,,28.0,IT,Ahmedabad,2.79,36736.0,33,0.25
245,28.0,118723.0,31.0,Finance,Delhi,3.01,2716.0,45,0.83
246,34.0,71356.0,17.0,IT,Bangalore,1.99,16574.0,59,0.46
247,,30789.0,5.0,Marketing,Mumbai,2.88,46279.0,41,0.49
248,41.0,117720.0,,Finance,Delhi,,17719.0,59,0.93
249,22.0,86656.0,18.0,Sales,Pune,4.0,,33,0.64
250,69.0,64028.0,,Marketing,Ahmedabad,4.02,45763.0,32,0.9
251,51.0,84484.0,36.0,Finance,Delhi,3.31,44066.0,51,0.46
252,,52154.0,31.0,Sales,Delhi,4.62,49530.0,46,0.15
253,39.0,102870.0,2.0,IT,Pune,4.27,20213.0,51,0.93
254,28.0,22336.0,27.0,Finance,Bangalore,4.03,6380.0,47,0.46
255,65.0,123677.0,9.0,Sales,Mumbai,1.22,615.0,54,0.18
256,33.0,87779.0,34.0,IT,Pune,1.03,463.0,47,0.3
257,50.0,39029.0,28.0,Marketing,Mumbai,1.85,31973.0,52,0.05
258,26.0,79201.0,14.0,Marketing,Bangalore,,9158.0,57,0.47
259,,52265.0,32.0,Marketing,Delhi,2.64,20651.0,46,0.85
260,,122916.0,6.0,Marketing,Mumbai,2.61,3158.0,41,0.93
261,46.0,132250.0,,HR,Ahmedabad,4.54,20008.0,52,0.93
262,20.0,136553.0,29.0,Finance,Ahmedabad,4.58,46202.0,50,0.13
263,37.0,63872.0,,Finance,Pune,4.64,4938.0,53,0.38
264,53.0,66197.0,30.0,HR,Bangalore,,38185.0,33,0.03
265,36.0,145733.0,23.0,Sales,Pune,3.76,22388.0,41,0.86
266,43.0,75180.0,19.0,Sales,Pune,2.09,8881.0,55,0.36
267,,43710.0,,Marketing,Pune,1.76,5603.0,52,0.63
268,36.0,49486.0,3.0,IT,Ahmedabad,1.74,34980.0,51,0.71
269,37.0,91907.0,,Sales,Ahmedabad,2.37,22504.0,50,0.43
270,49.0,148876.0,19.0,IT,Pune,,16766.0,49,0.31
271,24.0,91895.0,23.0,Finance,Ahmedabad,4.32,,44,0.96
272,69.0,84435.0,31.0,IT,Bangalore,1.48,11695.0,52,0.96
273,58.0,60631.0,35.0,Finance,Pune,3.94,17796.0,57,0.29
274,50.0,,33.0,HR,Ahmedabad,3.13,42543.0,45,0.48
275,57.0,121532.0,,HR,Mumbai,2.15,14559.0,34,0.97
276,56.0,40103.0,1.0,Marketing,Pune,2.97,38914.0,50,0.0
277,35.0,84772.0,14.0,Sales,Pune,2.2,33139.0,44,0.41
278,57.0,146108.0,33.0,Marketing,Bangalore,3.38,,46,0.1
279,18.0,34382.0,,Finance,Delhi,2.74,8802.0,47,0.51
280,28.0,104291.0,5.0,Marketing,Delhi,1.66,8307.0,34,0.02
281,45.0,121195.0,38.0,IT,Bangalore,1.47,40205.0,42,0.41
282,42.0,23756.0,11.0,Finance,Bangalore,3.19,33214.0,48,0.22
283,67.0,40609.0,2.0,HR,Bangalore,,,59,0.53
284,,134074.0,17.0,Sales,Delhi,2.38,11516.0,42,1.0
285,48.0,36478.0,,Finance,Bangalore,3.93,29086.0,47,0.8
286,47.0,120978.0,20.0,Finance,Ahmedabad,3.63,48222.0,43,0.85
287,59.0,,14.0,IT,Pune,4.73,30480.0,59,0.64
288,52.0,95683.0,32.0,Sales,Pune,4.28,44659.0,33,0.04
289,24.0,119097.0,34.0,HR,Mumbai,3.27,47766.0,33,0.21
290,33.0,144714.0,,Finance,Mumbai,3.63,38737.0,49,0.93
291,43.0,120420.0,,Finance,Pune,4.59,9265.0,49,0.37
292,65.0,91315.0,35.0,IT,Ahmedabad,2.6,48629.0,48,0.1
293,69.0,97834.0,29.0,Marketing,Delhi,2.31,5454.0,42,0.7
294,66.0,146205.0,,HR,Delhi,1.04,35918.0,41,0.3
295,19.0,,13.0,Sales,Ahmedabad,4.31,26181.0,36,0.27
296,18.0,129415.0,13.0,Finance,Delhi,4.2,15386.0,54,1.0
297,65.0,,1.0,Finance,Bangalore,1.42,39182.0,41,0.86
298,29.0,129701.0,36.0,HR,Pune,3.31,,50,0.41
299,22.0,32999.0,4.0,Marketing,Pune,,43254.0,33,0.98
300,54.0,75318.0,37.0,Finance,Ahmedabad,1.47,24327.0,56,0.65
301,49.0,,13.0,HR,Delhi,4.92,21181.0,31,0.74
302,26.0,135033.0,,IT,Mumbai,1.86,47662.0,31,0.03
303,58.0,96077.0,24.0,Marketing,Mumbai,1.27,21452.0,34,0.12
304,52.0,110474.0,19.0,Sales,Delhi,3.38,38248.0,52,0.63
305,,,1.0,Finance,Mumbai,,40801.0,39,0.9
306,65.0,95993.0,38.0,HR,Ahmedabad,1.13,33751.0,39,0.62
307,33.0,95916.0,5.0,IT,Ahmedabad,3.63,21991.0,38,0.13
308,20.0,93319.0,16.0,Sales,Delhi,,41311.0,42,0.12
309,37.0,145885.0,24.0,HR,Mumbai,,9916.0,36,0.84
310,41.0,129777.0,27.0,HR,Ahmedabad,1.69,,34,0.14
311,50.0,37368.0,1.0,Sales,Ahmedabad,3.27,25855.0,55,0.52
312,41.0,35328.0,34.0,IT,Bangalore,2.19,15581.0,39,0.04
313,69.0,76942.0,36.0,IT,Bangalore,4.75,1907.0,39,0.08
314,,111751.0,4.0,Marketing,Ahmedabad,4.27,,35,0.67
315,66.0,119131.0,,Finance,Delhi,,23308.0,56,0.69
316,25.0,47306.0,39.0,Sales,Pune,2.04,41984.0,57,0.34
317,53.0,105451.0,11.0,Sales,Pune,4.88,41505.0,48,0.22
318,55.0,59915.0,35.0,Sales,Ahmedabad,2.72,46525.0,50,0.81
319,57.0,57219.0,22.0,IT,Ahmedabad,,36942.0,37,0.22
320,37.0,100879.0,30.0,Finance,Ahmedabad,1.2,26957.0,30,0.54
321,52.0,131939.0,10.0,Marketing,Delhi,1.21,25464.0,57,0.97
322,65.0,84644.0,9.0,HR,Bangalore,3.77,48476.0,46,0.15
323,42.0,80279.0,2.0,HR,Ahmedabad,,23649.0,36,0.94
324,52.0,73028.0,13.0,Sales,Ahmedabad,1.91,42065.0,43,0.18
325,42.0,124263.0,15.0,Finance,Mumbai,3.46,27125.0,50,0.57
326,46.0,20126.0,9.0,IT,Delhi,2.01,34758.0,59,0.38
327,35.0,72329.0,28.0,Finance,Ahmedabad,3.31,5596.0,50,0.96
328,63.0,47632.0,9.0,Finance,Mumbai,2.44,16374.0,46,0.27
329,35.0,127099.0,11.0,IT,Pune,4.29,,38,0.4
330,19.0,85310.0,29.0,Sales,Ahmedabad,4.28,27388.0,46,0.98
331,52.0,129945.0,0.0,Finance,Ahmedabad,2.91,21029.0,34,0.54
332,33.0,75176.0,4.0,HR,Mumbai,2.4,18445.0,55,0.5
333,58.0,139797.0,19.0,IT,Delhi,2.45,48474.0,54,0.26
334,53.0,106066.0,7.0,Marketing,Ahmedabad,4.22,14645.0,59,0.7
335,50.0,,11.0,Sales,Pune,,,49,0.01
336,21.0,146413.0,0.0,IT,Ahmedabad,1.84,13668.0,58,0.05
337,50.0,64327.0,,Marketing,Pune,1.34,15960.0,37,0.6
338,31.0,88904.0,27.0,Marketing,Bangalore,2.87,,35,0.34
339,38.0,23797.0,36.0,Finance,Bangalore,2.93,37203.0,40,0.95
340,65.0,,36.0,Finance,Pune,4.36,,48,0.9
341,,33718.0,11.0,Finance,Delhi,1.88,14626.0,33,0.71
342,25.0,54560.0,36.0,IT,Ahmedabad,2.52,28132.0,47,0.82
343,24.0,,27.0,IT,Ahmedabad,4.23,7951.0,30,0.67
344,20.0,42116.0,14.0,Sales,Bangalore,4.29,6449.0,42,0.13
345,34.0,56244.0,5.0,Finance,Pune,,19065.0,43,0.77
346,50.0,121721.0,19.0,Marketing,Ahmedabad,2.84,35967.0,53,0.21
347,,21645.0,13.0,HR,Ahmedabad,2.21,39536.0,30,0.32
348,,67523.0,1.0,Sales,Delhi,4.73,9130.0,59,0.82
349,68.0,144085.0,8.0,IT,Mumbai,1.47,23824.0,58,0.54
350,39.0,137718.0,36.0,Sales,Bangalore,,41401.0,40,0.86
351,39.0,39256.0,,Sales,Bangalore,,36993.0,46,0.21
352,63.0,,,Sales,Mumbai,3.13,31875.0,33,0.61
353,,120158.0,28.0,Sales,Ahmedabad,1.13,49748.0,55,0.08
354,55.0,73173.0,0.0,HR,Delhi,2.9,6054.0,41,0.64
355,55.0,57430.0,34.0,Finance,Delhi,2.63,34273.0,39,0.76
356,62.0,59282.0,5.0,Marketing,Bangalore,1.64,41821.0,35,0.58
357,68.0,139719.0,36.0,Sales,Delhi,3.63,48517.0,54,0.27
358,25.0,83374.0,,Sales,Mumbai,4.88,10832.0,30,0.03
359,44.0,88244.0,32.0,Sales,Ahmedabad,3.25,29670.0,36,0.12
360,44.0,31694.0,13.0,Finance,Mumbai,3.86,49112.0,55,0.62
361,51.0,76264.0,11.0,IT,Pune,1.27,22852.0,56,0.93
362,38.0,95060.0,19.0,IT,Bangalore,2.67,23620.0,50,0.21
363,47.0,,23.0,HR,Delhi,1.47,28307.0,57,0.74
364,50.0,77545.0,33.0,IT,Pune,,47551.0,45,0.87
365,45.0,138195.0,24.0,Sales,Delhi,4.75,1551.0,53,0.52
366,,,28.0,Sales,Ahmedabad,3.65,47922.0,43,0.67
367,50.0,122516.0,38.0,Sales,Ahmedabad,1.31,27812.0,52,0.82
