,id,age,salary,experience_years,department,city,performance_score,bonus,working_hours,satisfaction_level,salary_bonus,city_deparment,salary_category
54,55,19.0,78656.0,14.0,Finance,Mumbai,2.37,220.0,39,0.2,7865.6,Mumbai-Finance,Medium
55,56,37.0,136148.0,29.0,Sales,Ahmedabad,4.46,46994.0,49,0.95,13614.8,Ahmedabad-Sales,High
56,57,45.0,47285.0,36.0,IT,Mumbai,1.62,4818.0,42,0.21,4728.5,Mumbai-IT,Low
57,58,64.0,,28.0,HR,Delhi,1.33,7349.0,38,0.61,,Delhi-HR,
58,59,24.0,136421.0,21.0,Marketing,Pune,2.94,,50,0.22,13642.1,Pune-Marketing,High
59,60,61.0,21605.0,3.0,IT,Delhi,2.21,27464.0,43,0.55,2160.5,Delhi-IT,Low
60,61,25.0,91158.0,19.0,Finance,Delhi,3.25,42624.0,47,0.68,9115.8,Delhi-Finance,Medium
61,62,64.0,92303.0,31.0,Marketing,Pune,4.22,37344.0,44,0.19,9230.3,Pune-Marketing,Medium
62,63,52.0,47139.0,35.0,HR,Pune,1.55,18255.0,39,0.52,4713.9,Pune-HR,Low
63,64,31.0,97149.0,3.0,HR,Bangalore,3.32,,53,0.47,9714.9,Bangalore-HR,Medium
64,65,34.0,,26.0,Sales,Bangalore,3.02,47975.0,36,0.07,,Bangalore-Sales,
65,66,53.0,138205.0,16.0,Marketing,Delhi,1.58,1462.0,37,0.82,13820.5,Delhi-Marketing,High
66,67,67.0,96125.0,11.0,Sales,Delhi,3.5,15905.0,57,0.34,9612.5,Delhi-Sales,Medium
67,68,57.0,33918.0,21.0,IT,Ahmedabad,2.09,24920.0,32,0.57,3391.8,Ahmedabad-IT,Low
68,69,21.0,105655.0,16.0,Marketing,Ahmedabad,2.95,16252.0,44,0.51,10565.5,Ahmedabad-Marketing,High
69,70,19.0,47446.0,,IT,Bangalore,,41004.0,45,0.51,4744.6,Bangalore-IT,Low
70,71,23.0,144040.0,,Sales,Bangalore,2.84,,33,0.11,14404.0,Bangalore-Sales,High
71,72,59.0,33046.0,21.0,Marketing,Ahmedabad,2.23,34836.0,50,0.42,3304.6,Ahmedabad-Marketing,Low
72,73,21.0,149922.0,25.0,Sales,Ahmedabad,4.29,5753.0,35,0.45,14992.2,Ahmedabad-Sales,High
73,74,46.0,44818.0,17.0,Marketing,Mumbai,1.23,40005.0,30,0.73,4481.8,Mumbai-Marketing,Low
74,75,35.0,120894.0,13.0,Sales,Mumbai,2.67,,33,0.84,12089.4,Mumbai-Sales,High
75,76,43.0,135751.0,28.0,HR,Ahmedabad,2.83,6191.0,40,0.54,13575.1,Ahmedabad-HR,High
76,77,61.0,24324.0,11.0,Sales,Mumbai,3.9,17898.0,41,0.09,2432.4,Mumbai-Sales,Low
77,78,51.0,96323.0,35.0,HR,Pune,3.3,18982.0,55,0.24,9632.3,Pune-HR,Medium
78,79,27.0,29111.0,,Sales,Bangalore,3.67,14622.0,58,0.16,2911.1,Bangalore-Sales,Low
79,80,,58110.0,11.0,Marketing,Bangalore,4.11,,34,0.12,5811.0,Bangalore-Marketing,Medium
80,81,31.0,36389.0,6.0,Marketing,Ahmedabad,4.45,47645.0,52,0.37,3638.9,Ahmedabad-Marketing,Low
81,82,48.0,142177.0,28.0,Marketing,Delhi,2.26,43000.0,58,0.23,14217.7,Delhi-Marketing,High
82,83,65.0,61427.0,10.0,Finance,Ahmedabad,3.15,23283.0,50,0.22,6142.7,Ahmedabad-Finance,Medium
83,84,32.0,99579.0,32.0,IT,Mumbai,4.36,21435.0,45,0.05,9957.9,Mumbai-IT,Medium
84,85,25.0,48746.0,5.0,Marketing,Delhi,,27223.0,42,0.02,4874.6,Delhi-Marketing,Low
85,86,31.0,142883.0,14.0,HR,Mumbai,4.56,37244.0,42,0.1,14288.3,Mumbai-HR,High
86,87,,107886.0,31.0,Marketing,Pune,2.49,30024.0,46,0.17,10788.6,Pune-Marketing,High
87,88,57.0,127141.0,10.0,Finance,Mumbai,,49630.0,56,0.43,12714.1,Mumbai-Finance,High
88,89,38.0,20117.0,22.0,HR,Pune,2.96,30734.0,36,0.51,2011.7,Pune-HR,Low
89,90,33.0,145808.0,25.0,Finance,Pune,3.97,515.0,37,0.14,14580.8,Pune-Finance,High
90,91,62.0,132221.0,,HR,Mumbai,2.97,45246.0,42,0.42,13222.1,Mumbai-HR,High
91,92,35.0,104471.0,33.0,Sales,Mumbai,2.93,1191.0,52,0.34,10447.1,Mumbai-Sales,High
92,93,64.0,132613.0,28.0,IT,Pune,4.35,32264.0,56,0.18,13261.3,Pune-IT,High
93,94,41.0,33234.0,3.0,IT,Delhi,2.45,,45,0.01,3323.4,Delhi-IT,Low
94,95,,149597.0,16.0,Finance,Pune,4.44,46216.0,59,0.47,14959.7,Pune-Finance,High
95,96,42.0,123864.0,34.0,IT,Bangalore,2.63,6297.0,58,0.69,12386.4,Bangalore-IT,High
96,97,,73441.0,12.0,Finance,Pune,2.31,27856.0,33,0.23,7344.1,Pune-Finance,Medium
97,98,58.0,,38.0,Finance,Delhi,,,37,0.13,,Delhi-Finance,
98,99,46.0,,14.0,Finance,Bangalore,,8334.0,45,0.89,,Bangalore-Finance,
99,100,32.0,99239.0,28.0,IT,Ahmedabad,1.5,24162.0,50,0.28,9923.9,Ahmedabad-IT,Medium
100,101,62.0,133689.0,28.0,Finance,Ahmedabad,1.79,6008.0,39,0.22,13368.9,Ahmedabad-Finance,High
101,102,18.0,66514.0,10.0,IT,Delhi,4.81,7987.0,54,0.86,6651.4,Delhi-IT,Medium
102,103,42.0,108236.0,,Finance,Pune,1.7,30966.0,41,0.82,10823.6,Pune-Finance,High
103,104,24.0,117579.0,,Marketing,Mumbai,3.27,3332.0,41,0.45,11757.9,Mumbai-Marketing,High
104,105,26.0,148644.0,13.0,Finance,Delhi,3.32,787.0,55,0.49,14864.4,Delhi-Finance,High
105,106,41.0,26469.0,,HR,Bangalore,2.96,38990.0,34,0.22,2646.9,Bangalore-HR,Low
106,107,18.0,50105.0,21.0,Finance,Bangalore,3.58,9873.0,45,0.08,5010.5,Bangalore-Finance,Medium
107,108,,62101.0,10.0,Sales,Ahmedabad,1.92,17006.0,30,0.57,6210.1,Ahmedabad-Sales,Medium
108,109,25.0,84323.0,26.0,Finance,Bangalore,3.21,20225.0,57,0.1,8432.3,Bangalore-Finance,Medium
109,110,41.0,111922.0,,HR,Delhi,2.49,36444.0,38,0.45,11192.2,Delhi-HR,High
110,111,28.0,78067.0,16.0,HR,Bangalore,3.65,35340.0,41,0.94,7806.7,Bangalore-HR,Medium
111,112,68.0,69376.0,27.0,IT,Delhi,,39683.0,34,0.95,6937.6,Delhi-IT,Medium
112,113,34.0,65587.0,28.0,Marketing,Mumbai,3.28,5033.0,51,0.24,6558.7,Mumbai-Marketing,Medium
113,114,25.0,56976.0,,Finance,Ahmedabad,1.74,7788.0,49,0.62,5697.6,Ahmedabad-Finance,Medium
114,115,52.0,124587.0,15.0,IT,Bangalore,2.11,15689.0,51,0.47,12458.7,Bangalore-IT,High
115,116,52.0,147534.0,36.0,Marketing,Delhi,1.87,44220.0,57,0.88,14753.4,Delhi-Marketing,High
116,117,,87584.0,19.0,Finance,Pune,1.73,21598.0,53,0.27,8758.4,Pune-Finance,Medium
117,118,22.0,124537.0,5.0,Sales,Ahmedabad,4.3,37480.0,32,0.0,12453.7,Ahmedabad-Sales,High
118,119,59.0,98477.0,18.0,Finance,Mumbai,2.14,29703.0,34,0.16,9847.7,Mumbai-Finance,Medium
119,120,56.0,130911.0,4.0,HR,Delhi,4.71,66.0,31,0.35,13091.1,Delhi-HR,High
120,121,,62533.0,2.0,HR,Mumbai,4.88,48623.0,43,0.32,6253.3,Mumbai-HR,Medium
121,122,45.0,21828.0,0.0,Sales,Mumbai,3.29,,31,0.79,2182.8,Mumbai-Sales,Low
122,123,24.0,21917.0,37.0,IT,Bangalore,1.57,7533.0,42,0.68,2191.7,Bangalore-IT,Low
123,124,26.0,40618.0,,Marketing,Bangalore,2.5,15103.0,36,0.3,4061.8,Bangalore-Marketing,Low
124,125,25.0,52254.0,33.0,Finance,Delhi,4.19,4616.0,39,0.46,5225.4,Delhi-Finance,Medium
125,126,29.0,125292.0,,HR,Pune,2.47,46045.0,42,0.1,12529.2,Pune-HR,High
126,127,,136714.0,24.0,IT,Delhi,1.35,38498.0,45,0.9,13671.4,Delhi-IT,High
127,128,50.0,67362.0,23.0,Sales,Pune,3.23,43492.0,55,0.94,6736.2,Pune-Sales,Medium
128,129,,40128.0,11.0,HR,Mumbai,,11772.0,43,0.98,4012.8,Mumbai-HR,Low
129,130,40.0,,17.0,Sales,Ahmedabad,4.18,23849.0,40,0.87,,Ahmedabad-Sales,
130,131,41.0,131281.0,14.0,Finance,Delhi,,49036.0,39,0.17,13128.1,Delhi-Finance,High
131,132,54.0,79383.0,15.0,Marketing,Delhi,3.69,12940.0,35,0.05,7938.3,Delhi-Marketing,Medium
132,133,52.0,,26.0,HR,Pune,1.88,16932.0,33,0.58,,Pune-HR,
133,134,61.0,102180.0,7.0,HR,Mumbai,1.87,29769.0,50,0.91,10218.0,Mumbai-HR,High
134,135,57.0,107958.0,24.0,Finance,Mumbai,4.5,24648.0,30,0.18,10795.8,Mumbai-Finance,High
135,136,39.0,29865.0,16.0,IT,Pune,2.0,47411.0,36,0.01,2986.5,Pune-IT,Low
136,137,44.0,22219.0,28.0,Marketing,Mumbai,,32966.0,53,0.81,2221.9,Mumbai-Marketing,Low
137,138,52.0,59809.0,7.0,HR,Bangalore,1.0,27777.0,38,0.08,5980.9,Bangalore-HR,Medium
138,139,18.0,136748.0,14.0,Marketing,Ahmedabad,4.48,32567.0,37,0.41,13674.8,Ahmedabad-Marketing,High
139,140,52.0,25287.0,26.0,HR,Delhi,4.17,49723.0,34,0.68,2528.7,Delhi-HR,Low
140,141,54.0,146593.0,6.0,Marketing,Ahmedabad,3.51,17174.0,48,0.24,14659.3,Ahmedabad-Marketing,High
141,142,64.0,54387.0,2.0,Sales,Delhi,4.0,42598.0,39,0.08,5438.7,Delhi-Sales,Medium
142,143,31.0,28512.0,28.0,HR,Bangalore,,13798.0,40,0.77,2851.2,Bangalore-HR,Low
143,144,20.0,21342.0,23.0,Marketing,Mumbai,2.83,17558.0,54,0.63,2134.2,Mumbai-Marketing,Low
144,145,18.0,83076.0,2.0,IT,Pune,2.4,44237.0,44,0.99,8307.6,Pune-IT,Medium
145,146,22.0,128872.0,19.0,Sales,Bangalore,1.38,178.0,35,0.34,12887.2,Bangalore-Sales,High
146,147,43.0,39216.0,14.0,Sales,Ahmedabad,2.94,20470.0,44,0.06,3921.6,Ahmedabad-Sales,Low
147,148,31.0,137512.0,24.0,IT,Pune,,17118.0,34,0.73,13751.2,Pune-IT,High
148,149,56.0,136682.0,29.0,Marketing,Mumbai,1.16,22616.0,58,0.52,13668.2,Mumbai-Marketing,High
149,150,44.0,113070.0,13.0,Finance,Bangalore,2.17,798.0,48,0.21,11307.0,Bangalore-Finance,High
150,151,26.0,99767.0,6.0,IT,Pune,1.83,7601.0,51,0.78,9976.7,Pune-IT,Medium
151,152,32.0,,,Marketing,Bangalore,1.95,25363.0,48,0.2,,Bangalore-Marketing,
152,153,32.0,46614.0,19.0,IT,Bangalore,4.63,2795.0,39,0.26,4661.4,Bangalore-IT,Low
153,154,43.0,56258.0,35.0,IT,Mumbai,2.87,31926.0,41,0.09,5625.8,Mumbai-IT,Medium
154,155,,113789.0,8.0,HR,Delhi,2.87,45264.0,51,0.4,11378.9,Delhi-HR,High
155,156,30.0,,37.0,Marketing,Pune,4.04,37356.0,33,0.42,,Pune-Marketing,
156,157,68.0,126288.0,21.0,Finance,Mumbai,1.62,7297.0,47,0.51,12628.8,Mumbai-Finance,High
157,158,49.0,,1.0,HR,Bangalore,2.95,3084.0,45,0.71,,Bangalore-HR,
158,159,56.0,116573.0,23.0,IT,Mumbai,2.72,30329.0,37,0.91,11657.3,Mumbai-IT,High
159,160,66.0,32219.0,7.0,IT,Delhi,3.39,11110.0,33,0.14,3221.9,Delhi-IT,Low
160,161,69.0,20235.0,10.0,IT,Pune,5.0,731.0,54,0.05,2023.5,Pune-IT,Low
161,162,49.0,,12.0,Marketing,Delhi,4.08,1129.0,52,0.02,,Delhi-Marketing,
162,163,21.0,147309.0,16.0,Marketing,Ahmedabad,2.59,28022.0,41,0.14,14730.9,Ahmedabad-Marketing,High
163,164,47.0,87444.0,7.0,HR,Pune,4.31,,31,0.66,8744.4,Pune-HR,Medium
164,165,54.0,28567.0,20.0,Finance,Delhi,1.68,,33,0.73,2856.7,Delhi-Finance,Low
165,166,40.0,121834.0,17.0,HR,Bangalore,1.12,43705.0,34,0.79,12183.4,Bangalore-HR,High
166,167,56.0,90792.0,29.0,Sales,Pune,,44130.0,32,0.24,9079.2,Pune-Sales,Medium
167,168,62.0,85441.0,17.0,IT,Pune,2.36,29265.0,38,0.31,8544.1,Pune-IT,Medium
168,169,32.0,104555.0,,IT,Mumbai,,32330.0,58,0.48,10455.5,Mumbai-IT,High
169,170,,93698.0,37.0,IT,Bangalore,3.46,2933.0,50,0.06,9369.8,Bangalore-IT,Medium
170,171,46.0,144450.0,31.0,HR,Ahmedabad,4.64,15187.0,47,0.61,14445.0,Ahmedabad-HR,High
171,172,53.0,137248.0,10.0,HR,Delhi,3.04,25791.0,40,0.98,13724.8,Delhi-HR,High
172,173,30.0,25415.0,24.0,IT,Mumbai,3.01,24900.0,32,0.36,2541.5,Mumbai-IT,Low
173,174,49.0,56159.0,32.0,HR,Delhi,1.2,5074.0,59,0.75,5615.9,Delhi-HR,Medium
174,175,24.0,63925.0,37.0,Marketing,Ahmedabad,1.14,,54,0.5,6392.5,Ahmedabad-Marketing,Medium
175,176,68.0,146523.0,7.0,Marketing,Ahmedabad,3.2,26426.0,52,0.13,14652.3,Ahmedabad-Marketing,High
176,177,39.0,25951.0,10.0,HR,Pune,,,31,0.58,2595.1,Pune-HR,Low
177,178,45.0,107388.0,21.0,IT,Ahmedabad,4.36,893.0,38,0.3,10738.8,Ahmedabad-IT,High
178,179,19.0,28007.0,23.0,HR,Delhi,1.64,34158.0,43,0.03,2800.7,Delhi-HR,Low
179,180,59.0,146730.0,16.0,HR,Bangalore,1.1,19773.0,33,0.63,14673.0,Bangalore-HR,High
180,181,,61832.0,11.0,HR,Bangalore,,4239.0,58,0.86,6183.2,Bangalore-HR,Medium
181,182,23.0,,31.0,Sales,Pune,1.95,20863.0,38,0.34,,Pune-Sales,
182,183,45.0,141101.0,14.0,Marketing,Delhi,1.2,3432.0,42,0.39,14110.1,Delhi-Marketing,High
183,184,45.0,50523.0,15.0,Finance,Delhi,,35139.0,47,0.89,5052.3,Delhi-Finance,Medium
184,185,,108861.0,21.0,Finance,Ahmedabad,1.45,1515.0,44,0.81,10886.1,Ahmedabad-Finance,High
185,186,61.0,144194.0,27.0,Sales,Delhi,3.43,31670.0,57,0.71,14419.4,Delhi-Sales,High
186,187,37.0,106740.0,19.0,HR,Mumbai,2.12,48674.0,39,0.25,10674.0,Mumbai-HR,High
187,188,47.0,35524.0,32.0,Sales,Ahmedabad,1.69,39094.0,45,0.91,3552.4,Ahmedabad-Sales,Low
188,189,28.0,149028.0,9.0,Sales,Mumbai,2.52,,41,0.15,14902.8,Mumbai-Sales,High
189,190,45.0,39282.0,39.0,IT,Pune,4.21,5586.0,49,0.63,3928.2,Pune-IT,Low
190,191,42.0,43930.0,31.0,Marketing,Bangalore,2.57,,34,0.03,4393.0,Bangalore-Marketing,Low
191,192,56.0,20077.0,32.0,Finance,Pune,4.0,48669.0,31,0.64,2007.7,Pune-Finance,Low
192,193,50.0,125881.0,1.0,HR,Bangalore,1.5,31186.0,39,0.28,12588.1,Bangalore-HR,High
193,194,18.0,145501.0,,Finance,Pune,4.09,26928.0,30,0.45,14550.1,Pune-Finance,High
194,195,,40611.0,32.0,Finance,Delhi,1.95,32728.0,36,0.35,4061.1,Delhi-Finance,Low
195,196,69.0,,12.0,Marketing,Mumbai,3.71,17551.0,55,0.17,,Mumbai-Marketing,
196,197,30.0,34060.0,29.0,Finance,Bangalore,,21493.0,46,0.62,3406.0,Bangalore-Finance,Low
197,198,58.0,102985.0,32.0,Finance,Ahmedabad,4.72,20711.0,45,0.88,10298.5,Ahmedabad-Finance,High
198,199,20.0,104056.0,,Sales,Mumbai,2.55,20039.0,56,0.96,10405.6,Mumbai-Sales,High
199,200,56.0,145329.0,25.0,Marketing,Ahmedabad,1.26,36561.0,56,0.19,14532.9,Ahmedabad-Marketing,High
200,201,23.0,63303.0,21.0,IT,Mumbai,1.08,9947.0,53,0.72,6330.3,Mumbai-IT,Medium
201,202,25.0,79207.0,38.0,HR,Mumbai,4.31,32335.0,32,0.66,7920.7,Mumbai-HR,Medium
202,203,44.0,95046.0,,Finance,Pune,,15859.0,43,0.34,9504.6,Pune-Finance,Medium
203,204,26.0,49287.0,37.0,HR,Bangalore,4.1,23122.0,39,0.02,4928.7,Bangalore-HR,Low
204,205,54.0,113709.0,38.0,IT,Bangalore,1.94,1577.0,51,0.69,11370.9,Bangalore-IT,High
205,206,50.0,59711.0,25.0,HR,Mumbai,2.38,42256.0,36,0.95,5971.1,Mumbai-HR,Medium
206,207,68.0,31954.0,14.0,IT,Delhi,1.12,28350.0,55,0.63,3195.4,Delhi-IT,Low
207,208,59.0,93340.0,33.0,Sales,Delhi,,41932.0,46,0.44,9334.0,Delhi-Sales,Medium
208,209,61.0,92101.0,,Finance,Ahmedabad,3.67,33798.0,59,0.53,9210.1,Ahmedabad-Finance,Medium
209,210,41.0,91520.0,10.0,IT,Ahmedabad,4.73,31898.0,35,0.2,9152.0,Ahmedabad-IT,Medium
210,211,32.0,107062.0,2.0,HR,Pune,2.06,15881.0,52,0.75,10706.2,Pune-HR,High
211,212,49.0,,5.0,Finance,Mumbai,3.45,10785.0,51,0.75,,Mumbai-Finance,
212,213,49.0,38574.0,8.0,Sales,Ahmedabad,3.71,6691.0,33,0.15,3857.4,Ahmedabad-Sales,Low
213,214,41.0,29184.0,5.0,Finance,Ahmedabad,2.27,17297.0,46,0.88,2918.4,Ahmedabad-Finance,Low
214,215,58.0,,8.0,IT,Mumbai,4.39,6358.0,56,0.27,,Mumbai-IT,
215,216,69.0,87728.0,38.0,Sales,Pune,4.79,19581.0,38,0.98,8772.8,Pune-Sales,Medium
216,217,66.0,54016.0,30.0,HR,Ahmedabad,4.54,1462.0,33,0.38,5401.6,Ahmedabad-HR,Medium
217,218,66.0,31246.0,31.0,Sales,Pune,3.96,15511.0,36,0.18,3124.6,Pune-Sales,Low
218,219,69.0,65558.0,11.0,Sales,Bangalore,2.11,10570.0,52,0.35,6555.8,Bangalore-Sales,Medium
219,220,29.0,138721.0,7.0,Marketing,Pune,2.13,,31,0.44,13872.1,Pune-Marketing,High
220,221,56.0,38381.0,7.0,Sales,Delhi,4.85,44414.0,46,0.07,3838.1,Delhi-Sales,Low
221,222,19.0,147796.0,27.0,Sales,Delhi,1.04,15474.0,53,0.58,14779.6,Delhi-Sales,High
222,223,20.0,56455.0,19.0,Finance,Pune,3.86,,37,0.6,5645.5,Pune-Finance,Medium
223,224,66.0,112263.0,6.0,HR,Delhi,3.82,28129.0,52,0.74,11226.3,Delhi-HR,High
224,225,54.0,24018.0,10.0,Finance,Bangalore,,42267.0,59,0.03,2401.8,Bangalore-Finance,Low
225,226,66.0,31302.0,19.0,Finance,Mumbai,4.96,13386.0,44,0.54,3130.2,Mumbai-Finance,Low
226,227,34.0,87506.0,15.0,IT,Delhi,2.25,6221.0,44,0.05,8750.6,Delhi-IT,Medium
227,228,66.0,61157.0,3.0,Finance,Delhi,2.36,23474.0,37,0.7,6115.7,Delhi-Finance,Medium
228,229,19.0,74917.0,5.0,Marketing,Pune,1.32,40537.0,45,0.06,7491.7,Pune-Marketing,Medium
229,230,19.0,,21.0,Marketing,Bangalore,2.77,49839.0,48,0.91,,Bangalore-Marketing,
230,231,45.0,116646.0,25.0,IT,Mumbai,2.04,47124.0,40,0.7,11664.6,Mumbai-IT,High
231,232,40.0,103122.0,2.0,HR,Pune,,21045.0,31,0.51,10312.2,Pune-HR,High
232,233,54.0,44519.0,13.0,HR,Pune,4.34,25783.0,52,0.44,4451.9,Pune-HR,Low
233,234,49.0,116809.0,10.0,Finance,Bangalore,4.74,40157.0,53,0.13,11680.9,Bangalore-Finance,High
234,235,50.0,107487.0,17.0,Finance,Mumbai,1.74,4922.0,46,0.29,10748.7,Mumbai-Finance,High
235,236,18.0,76819.0,11.0,Finance,Bangalore,,46407.0,57,0.87,7681.9,Bangalore-Finance,Medium
236,237,36.0,100910.0,22.0,HR,Mumbai,4.71,22706.0,55,0.9,10091.0,Mumbai-HR,High
237,238,19.0,140430.0,11.0,Sales,Bangalore,1.25,42771.0,45,0.0,14043.0,Bangalore-Sales,High
238,239,61.0,91324.0,12.0,Marketing,Pune,1.37,32479.0,54,0.59,9132.4,Pune-Marketing,Medium
239,240,43.0,,24.0,Sales,Pune,1.65,5178.0,44,0.72,,Pune-Sales,
240,241,49.0,79379.0,18.0,Sales,Ahmedabad,3.38,30022.0,42,0.62,7937.9,Ahmedabad-Sales,Medium
241,242,23.0,45053.0,35.0,HR,Delhi,1.6,15240.0,44,0.08,4505.3,Delhi-HR,Low
242,243,49.0,,7.0,Sales,Bangalore,4.87,,56,0.22,,Bangalore-Sales,
243,244,21.0,,28.0,IT,Ahmedabad,2.79,36736.0,33,0.25,,Ahmedabad-IT,
